Date,Simulate,Real
2015-05-15,9996.552329817401,9865.699765128
2015-05-18,10023.750616814401,9974.492913116
2015-05-19,10021.10740300774,9965.299125962401
2015-05-20,10020.88713519048,9964.532977032799
2015-05-21,10050.18275488215,10066.430784656
2015-05-22,10081.02024929435,10154.537911548
2015-05-26,9999.92338510721,9930.8224241352
2015-05-27,10067.27266444058,10116.613539537599
2015-05-28,10057.121191124981,10096.3105929064
2015-05-29,9992.47737519853,9981.388253481598
2015-06-01,10003.46682390613,10000.925051184
2015-06-02,9977.03468583829,9956.871487737599
2015-06-03,9984.542945347392,9969.129870609599
2015-06-04,9946.695188230351,9910.902551968
2015-06-05,9909.297543609202,9856.5059779736
2015-06-08,9864.525715541751,9791.3833189664
2015-06-09,9844.5100747587,9762.269659645599
2015-06-10,9921.412273556853,9874.127403352
2015-06-11,9906.137179275152,9851.9090843968
2015-06-12,9831.34189003285,9743.115936408
2015-06-15,9818.173705307001,9723.9622131704
2015-06-16,9853.991167761402,9776.0603403768
2015-06-17,9838.189346090601,9753.075872492
2015-06-18,9868.739534654002,9797.512510402401
2015-06-19,9801.31842885855,9699.445447427199
2015-06-22,9854.5178951505,9776.8264893064
2015-06-23,9823.96770658655,9732.389851395199
2015-06-24,9880.854264601652,9815.133935780801
2015-06-25,9848.72389387095,9768.3988510816
2015-06-26,9809.219339693951,9710.9376813696
2015-06-29,9692.285859329153,9540.852619020801
2015-06-30,9739.42796064755,9609.422948211199
2015-07-01,9801.31842885855,9699.445447427199
2015-07-02,9792.737560848149,9687.187064555199
2015-07-06,9769.140173819273,9653.476511656801
2015-07-07,9752.514742049192,9629.7258948424
2015-07-08,9585.18781584751,9390.68742884
2015-07-09,9451.11175318543,9199.1501964656
2015-07-10,9623.26541764303,9445.084002833599
2015-07-13,9750.905829297591,9627.4274480544
2015-07-14,9748.224308043991,9623.596703406402
2015-07-15,9816.59352314032,9716.300723876
2015-07-16,9913.702899953922,9845.7798929608
2015-07-17,9978.547829974399,9930.8224241352
2015-07-20,10124.02035796236,10118.528911861598
2015-07-21,10043.11503100748,10017.397253168
2015-07-22,9698.874740122732,9593.716895156
2015-07-23,9695.13976409158,9589.120001579198
2015-07-24,9654.055027747632,9538.5541722328
2015-07-27,9541.39282766491,9406.0104074296
2015-07-28,9582.870215335452,9452.7454921288
2015-07-29,9555.231392703832,9422.8656838784
2015-07-30,9510.69898617683,9375.3644502496
2015-07-31,9433.84467168683,9293.3865147936
2015-08-03,9228.42098996558,9074.267920957598
2015-08-04,8933.64518934167,8783.131327748799
2015-08-05,8992.600349466291,8841.358646390401
2015-08-06,9011.993494244362,8860.512369627999
2015-08-07,9042.383443188832,8890.5271340176
2015-08-10,9369.65981643485,9213.7630582112
2015-08-11,8884.199862786561,8734.296437324001
2015-08-12,9020.565018305871,8868.9780724048
2015-08-13,9013.55195316434,8862.0515883144
2015-08-14,9076.669539433251,8924.3899451232
2015-08-17,9170.177074646632,9016.7430663216
2015-08-18,9118.747930279193,8965.948849662402
2015-08-19,9002.642740722862,8851.277057508
2015-08-20,8818.744588136871,8669.6492524848
2015-08-21,8281.855490121141,8139.388414938401
2015-08-24,8076.13891265211,7936.211548302319
2015-08-25,8124.451139178941,7983.92732758808
2015-08-26,8588.092667944193,8441.844886862402
2015-08-27,8839.783783559842,8690.4287047544
2015-08-28,8868.61527358433,8718.9042504576
