Date,Simulate,Real
2015-09-02,10222.224697883501,10374.949635410881
2015-09-03,10080.087472288751,10193.013986649601
2015-09-04,8653.22212965931,10091.425553331841
2015-09-08,8781.90081186215,10372.1790417744
2015-09-09,8661.37998869847,10172.69629998624
2015-09-10,8824.34476714627,10396.19085328608
2015-09-11,8942.672203681272,10547.649972050882
2015-09-14,9025.21280575273,10649.2384053696
2015-09-15,9098.93176072556,10738.82093293152
2015-09-16,9108.936682188762,10750.826838687362
2015-09-17,7428.523541402761,10520.86756690368
2015-09-18,7402.751248518361,10477.46159994048
2015-09-21,5149.748756303281,10640.003093249281
2015-09-22,4683.7791592741805,10472.84394388032
2015-09-23,4472.6753164019,10557.808815383038
2015-09-24,4477.908659936461,10620.608937797762
2015-09-25,4470.93407526271,10593.82653265056
2015-09-28,4403.2373134009395,10384.18494753024
2015-09-29,4289.43133175774,10072.03139788032
2015-09-30,3254.8166311840205,10154.22567574656
2015-10-01,3246.2739674733,10120.055020903681
2015-10-02,2835.3795390754603,10193.9375178624
2015-10-05,2840.7668044787,10230.878766341759
2015-10-06,2847.9049311378603,10279.825920576
2015-10-07,2840.7668044787,10230.878766341759
2015-10-08,2823.5275551883606,10112.666771208
2015-10-09,2873.9369671755608,10354.63194874656
2015-10-12,2862.43130749311,10306.608325724159
2015-10-13,2866.6352985310305,10324.155418752001
2015-10-14,2831.6757941106507,10178.23748725824
2015-10-15,1999.3625295451304,10330.620137235841
2015-10-16,1991.4740337760304,10254.89057785248
2015-10-19,1998.1119143622304,10318.61423148
2015-10-20,2017.7369526168304,10507.01459872416
2015-10-21,2017.60227098177,10506.091067512318
2015-10-22,2041.0368754858503,10666.78549839744
2015-10-23,2089.2529008447505,10997.40967228704
2015-10-26,2038.0738795139703,10646.46781173312
2015-10-27,1699.7536121911503,10579.0500332592
2015-10-28,1749.7012585725306,11014.95676531488
2015-10-29,1528.7079356385102,11131.321698024
2015-10-30,1518.7992153433106,11036.197983190079
2015-11-02,1534.9610115530104,11191.3512268032
2015-11-03,1548.3329738931106,11319.72206526816
2015-11-04,1542.8495073220106,11267.080786185601
2015-11-05,1537.4622419188104,11215.363038314881
2015-11-06,1538.8148500700104,11228.348076566399
2015-11-09,1534.0807215408104,11182.900442686081
2015-11-10,1497.3670717227105,10830.449404432318
2015-11-11,1490.9904904385103,10769.234224103999
2015-11-12,1487.2225105888106,10733.061617546879
2015-11-13,1451.3011026878607,10419.56569404768
2015-11-16,1470.8028137820006,10589.762445414719
2015-11-17,1465.6484105772806,10544.7785629008
2015-11-18,1503.9078982824003,10878.679546509118
2015-11-19,1519.7430751381407,11016.877453613763
2015-11-20,1525.2694455844407,11065.107595690562
2015-11-23,1508.7966106003405,10921.344672192961
2015-11-24,1520.8058386855905,11026.152480936962
2015-11-25,1511.7723485329802,10947.314748696
2015-11-27,1509.4342687287003,10926.909688585922
2015-11-30,1514.6418101108202,10972.35732246624
2015-12-01,1504.4392800560704,10883.31706017024
2015-12-02,1493.1739864540905,10785.00177055296
2015-12-03,1481.6961401425106,10684.83147547008
2015-12-04,1522.3999840066003,11040.06502192032
2015-12-07,1514.4292574013302,10970.5023170016
2015-12-08,1513.8978756276606,10965.864803340479
2015-12-09,1486.1597470414704,10723.78659022464
2015-12-10,1492.0049465519505,10774.79924049792
2015-12-11,1460.2283164857804,10497.4759235568
2015-12-14,1452.7889716541804,10432.5507322992
2015-12-15,1431.6399770616304,10247.977688582401
2015-12-16,1440.6734672142402,10326.81542082336
2015-12-17,1415.5922474964004,10107.92477601312
2015-12-18,1384.2407228492107,9834.311470001281
2015-12-21,1398.0566489648504,9954.88682519232
2015-12-22,982.7866235754705,9945.611797870079
2015-12-23,989.4530494635205,10073.60717492064
2015-12-24,986.6512182931704,10019.81201644992
2015-12-28,980.8060187826704,9907.584185848318
2015-12-29,990.0810461051205,10085.664710439361
2015-12-30,983.2213904812204,9953.95932246048
