Date,Simulate,Real
2015-09-16,10007.25356806082,9966.912381699742
2015-09-17,9856.34279595278,9753.72097348362
2015-09-18,9826.95333915478,9713.48002494482
2015-09-21,9937.00747524928,9864.16953436652
2015-09-22,9816.86183664034,9709.19907297238
2015-09-23,9878.815388777737,9787.968589261358
2015-09-24,9924.60714470514,9846.18953608334
2015-09-25,9904.52034084474,9821.360014644792
2015-09-28,9747.2891520045,9627.00479510616
2015-09-29,9513.17398976706,9337.61244178488
2015-09-30,9574.81969816674,9413.81338689004
2015-10-01,9547.76792974946,9382.13434229612
2015-10-02,9608.56706787174,9450.6295738516
2015-10-05,9639.7362462762,9484.87718962934
2015-10-06,9681.03540766134,9530.255280534
2015-10-07,9639.22638008626,9484.87718962934
2015-10-08,9538.25363424284,9375.28481914075
2015-10-09,9752.493635188439,9599.60670248379
2015-10-12,9707.47148860494,9555.08480197344
2015-10-13,9723.921888318539,9571.352419468001
2015-10-14,9587.123827543142,9436.074337145661
2015-10-15,9729.98256189714,9577.345752229061
2015-10-16,9658.986099975242,9507.138139884071
2015-10-19,9718.727025251039,9566.21527710125
2015-10-20,9895.352369542441,9740.87811756719
2015-10-21,9894.486559031338,9740.021927172878
2015-10-22,10045.13758798614,9888.99905580596
2015-10-23,10355.09775100764,10195.51521701611
2015-10-26,10026.08975673834,9870.16286712758
2015-10-27,9962.885589419038,9807.66096833405
2015-10-28,10371.548150721239,10211.78283451067
2015-10-29,10480.64027513604,10319.662824209749
2015-10-30,10391.46179247924,10231.47521358247
2015-11-02,10536.91795836654,10375.3151998488
2015-11-03,10657.265619427439,10494.32566467569
2015-11-04,10607.91442028754,10445.522812192901
2015-11-05,10559.42903165874,10397.57615010442
2015-11-06,10571.602505019539,10409.6143626501
2015-11-09,10528.99534825674,10367.480618740221
2015-11-10,10198.572499893839,10040.72913535913
2015-11-11,10141.183268336037,9983.977561929749
2015-11-12,10107.271449688738,9950.442541267419
2015-11-13,9813.369021408242,9659.805695523371
2015-11-16,9972.928475814839,9817.59226710323
2015-11-17,9930.75608595804,9775.88845935595
2015-11-18,10243.788258090837,10085.44249624283
2015-11-19,10373.348796001443,10213.563472621092
2015-11-20,10418.564554198441,10258.276833504791
2015-11-23,10283.78681341944,10124.996623178891
2015-11-24,10382.044134116943,10222.162195868641
2015-11-25,10308.133760141041,10149.07304827025
2015-11-27,10289.00401628784,10130.15585712653
2015-11-30,10331.611173050638,10172.28960103641
2015-12-01,10248.135927148138,10089.74185786616
2015-12-02,10155.965343131938,9998.59539145014
2015-12-03,10062.05569149174,9905.72918038372
2015-12-04,10395.087141288841,10235.06028073863
2015-12-07,10329.872105427537,10170.5698563869
2015-12-08,10325.52443637024,10166.27049476357
2015-12-09,10098.576111574137,9941.84381802076
2015-12-10,10146.40047120534,9989.13679587828
2015-12-11,9886.40986157304,9732.034970797451
2015-12-14,9825.54249476904,9671.84390806905
2015-12-15,9652.505266284541,9500.729315456601
2015-12-16,9726.415640260439,9573.81846305499
2015-12-17,9521.205660750838,9370.88859442883
2015-12-18,9264.69318636474,9117.22625864702
2015-12-21,9377.732581856337,9229.00966085538
2015-12-22,9369.037243741739,9220.41093760872
2015-12-23,9489.03290972664,9339.07331841601
2015-12-24,9438.59994866034,9289.200723583781
2015-12-28,9333.38635747134,9185.15617229688
2015-12-29,9500.336849275442,9350.25165863649
2015-12-30,9376.863048045238,9228.14978853107
