Date,Simulate,Real
2016-09-09,10000.0,9727.709363219521
2016-09-12,10000.0,9945.599488585922
2016-09-13,10000.0,10182.354559871039
2016-09-14,10000.0,10542.67502692704
2016-09-15,10000.0,10901.108999391361
2016-09-16,10000.0,10839.797925154562
2016-09-19,10000.0,10713.402787495681
2016-09-20,10000.0,10712.45954020032
2016-09-21,10000.0,10710.573045607682
2016-09-22,10000.0,10811.500506275519
2016-09-23,10000.0,10631.34027274752
2016-09-26,10000.0,10647.375476779202
2016-09-27,10000.0,10667.18366999424
2016-09-28,10000.0,10748.30293744608
2016-09-29,10000.0,10581.348166061762
2016-09-30,10000.0,10663.41068080992
2016-10-03,10000.0,10613.418574124162
2016-10-04,10000.0,10658.69444433024
2016-10-05,10000.0,10663.41068080992
2016-10-06,10000.0,10742.64345367008
2016-10-07,10000.0,10758.678657701761
2016-10-10,10000.0,10946.38486959744
2016-10-11,10000.0,10969.9660519968
2016-10-12,10000.0,11068.063770776638
2016-10-13,10000.0,11034.106868121598
2016-10-14,10000.0,11095.417942359361
2016-10-17,10000.0,11087.871963991682
2016-10-18,10000.0,11080.325985624
2016-10-19,10000.0,11047.31233026528
2016-10-20,10000.0,11041.65284648928
2016-10-21,10000.0,10998.263470874881
2016-10-24,10000.0,11097.304436951039
2016-10-25,10000.0,11153.899274708161
2016-10-26,10000.0,10902.995493983039
2016-10-27,10000.0,10798.295044131839
2016-10-28,10000.0,10726.608249639361
2016-10-31,10000.0,10709.629798312319
2016-11-01,10000.0,10516.26410264064
2016-11-02,10000.0,10525.6965756
2016-11-03,10000.0,10413.45014738112
2016-11-04,10000.0,10319.58403023744
2016-11-07,10000.0,10468.44241803072
2016-11-08,10000.0,10530.0716868624
2016-11-09,10000.0,10513.005120109441
2016-11-10,10000.0,10220.029057509119
2016-11-11,10000.0,10280.71018374336
2016-11-14,10000.0,10022.81539724736
2016-11-15,10000.0,10155.555360885119
2016-11-16,10000.0,10428.6204289392
2016-11-17,10000.0,10424.8278585504
2016-11-18,10000.0,10435.25742712128
2016-11-21,10000.0,10593.597240888961
2016-11-22,10000.0,10600.23423907104
2016-11-23,10000.0,10546.190111018881
2016-11-25,10000.0,10599.2860964736
2016-11-28,10000.0,10578.426959330882
2016-11-29,10000.0,10567.99739075904
2016-11-30,10000.0,10478.87198660256
2016-12-01,10000.0,10381.213299069119
2016-12-02,10000.0,10420.0871455632
2016-12-05,10000.0,10345.18388036736
2016-12-06,10000.0,10424.8278585504
2016-12-07,10000.0,10527.22725907008
2016-12-08,10000.0,10630.57480218816
2016-12-09,10000.0,10804.08489751488
2016-12-12,10000.0,10742.4556286832
2016-12-13,10000.0,10921.65457959456
2016-12-14,10000.0,10921.65457959456
2016-12-15,10000.0,10981.387563231361
2016-12-16,10000.0,10995.609702192001
2016-12-19,10000.0,11059.13525621856
2016-12-20,10000.0,11088.52767673824
2016-12-21,10000.0,11098.95724531008
2016-12-22,10000.0,11025.950265309119
2016-12-23,10000.0,11047.75754505024
2016-12-27,10000.0,11117.92009725888
2016-12-28,10000.0,11070.51296738784
2016-12-29,10000.0,11067.668539595517
2016-12-30,10000.0,10981.387563231361
