Date,Simulate,Real
2016-09-16,10000.0,9936.481431391681
2016-09-19,10000.0,9820.61922187104
2016-09-20,10000.0,9819.75457851696
2016-09-21,10000.0,9818.02529180704
2016-09-22,10000.0,9910.54213075256
2016-09-23,10000.0,9745.39525001856
2016-09-26,10000.0,9760.0941870476
2016-09-27,10000.0,9778.25169749472
2016-09-28,10000.0,9852.61102599224
2016-09-29,10000.0,9699.569152223281
2016-09-30,10000.0,9774.793124075759
2016-10-03,10000.0,9728.967026280481
2016-10-04,10000.0,9770.46990730272
2016-10-05,10000.0,9774.793124075759
2016-10-06,10000.0,9847.42316586424
2016-10-07,10000.0,9862.122102893281
2016-10-10,10000.0,10034.186130464319
2016-10-11,10000.0,10055.8022143304
2016-10-12,10000.0,10145.725123211918
2016-10-13,10000.0,10114.5979624448
2016-10-14,10000.0,10170.799780496081
2016-10-17,10000.0,10163.882633659041
2016-10-18,10000.0,10156.965486821999
2016-10-19,10000.0,10126.70296940984
2016-10-20,10000.0,10121.515109281841
2016-10-21,10000.0,10081.741514968642
2016-10-24,10000.0,10172.52906720512
2016-10-25,10000.0,10224.407668482481
2016-10-26,10000.0,9994.412536151118
2016-10-27,10000.0,9898.43712378752
2016-10-28,10000.0,9832.72422883608
2016-10-31,10000.0,9817.160648452958
2016-11-01,10000.0,9639.90876075392
2016-11-02,10000.0,9648.555194300001
2016-11-03,10000.0,9545.66263509936
2016-11-04,10000.0,9459.61869438432
2016-11-07,10000.0,9596.07221652816
2016-11-08,10000.0,9652.5657129572
2016-11-09,10000.0,9636.921360100321
2016-11-10,10000.0,9368.359969383358
2016-11-11,10000.0,9423.984335098081
2016-11-14,10000.0,9187.58078081008
2016-11-15,10000.0,9309.25908081136
2016-11-16,10000.0,9559.5687265276
2016-11-17,10000.0,9556.0922036712
2016-11-18,10000.0,9565.65264152784
2016-11-21,10000.0,9710.79747081488
2016-11-22,10000.0,9716.881385815119
2016-11-23,10000.0,9667.34093510064
2016-11-25,10000.0,9716.0122551008
2016-11-28,10000.0,9696.891379386641
2016-11-29,10000.0,9687.330941529119
2016-11-30,10000.0,9605.632654385681
2016-12-01,10000.0,9516.11219081336
2016-12-02,10000.0,9551.7465500996
2016-12-05,10000.0,9483.08522367008
2016-12-06,10000.0,9556.0922036712
2016-12-07,10000.0,9649.95832081424
2016-12-08,10000.0,9744.693568672481
2016-12-09,10000.0,9903.74448938864
2016-12-12,10000.0,9847.2509929596
2016-12-13,10000.0,10011.51669796168
2016-12-14,10000.0,10011.51669796168
2016-12-15,10000.0,10066.271932962081
2016-12-16,10000.0,10079.308893676001
2016-12-19,10000.0,10137.540651533682
2016-12-20,10000.0,10164.48370367672
2016-12-21,10000.0,10174.04414153424
2016-12-22,10000.0,10107.12107653336
2016-12-23,10000.0,10127.11108296272
2016-12-27,10000.0,10191.42675582064
2016-12-28,10000.0,10147.970220105519
2016-12-29,10000.0,10145.36282796256
2016-12-30,10000.0,10066.271932962081
