Date,Simulate,Real
2016-09-16,9991.0588016738,9936.481431391681
2016-09-19,9950.24370513812,9820.61922187104
2016-09-20,9949.5362696666,9819.75457851696
2016-09-21,9947.94453985406,9818.02529180704
2016-09-22,10033.102084792548,9910.54213075256
2016-09-23,9877.3385495548,9745.39525001856
2016-09-26,9891.53638645785,9760.0941870476
2016-09-27,9909.074890867,9778.25169749472
2016-09-28,9981.74423462594,9852.61102599224
2016-09-29,9830.4414730589,9699.569152223281
2016-09-30,9905.665444911378,9774.793124075759
2016-10-03,9859.8393471161,9728.967026280481
2016-10-04,9901.34222813834,9770.46990730272
2016-10-05,9905.665444911378,9774.793124075759
2016-10-06,9978.295486699859,9847.42316586424
2016-10-07,9992.9944237289,9862.122102893281
2016-10-10,10165.058451299938,10034.186130464319
2016-10-11,10186.67453516602,10055.8022143304
2016-10-12,10276.597444047537,10145.725123211918
2016-10-13,10245.470283280418,10114.5979624448
2016-10-14,10301.6721013317,10170.799780496081
2016-10-17,10294.75495449466,10163.882633659041
2016-10-18,10287.759203716289,10156.965486821999
2016-10-19,10257.15279406081,10126.70296940984
2016-10-20,10251.90598097681,10121.515109281841
2016-10-21,10211.68041400096,10081.741514968642
2016-10-24,10303.4996429674,10172.52906720512
2016-10-25,10355.96777380473,10224.407668482481
2016-10-26,10123.359060424147,9994.412536151118
2016-10-27,10026.293018374598,9898.43712378752
2016-10-28,9959.83338598053,9832.72422883608
2016-10-31,9944.092946729417,9817.160648452958
2016-11-01,9764.8268330338,9639.90876075392
2016-11-02,9773.57152150654,9648.555194300001
2016-11-03,9669.509728678619,9545.66263509936
2016-11-04,9582.48801591,9459.61869438432
2016-11-07,9720.49214626002,9596.07221652816
2016-11-08,9777.627614239389,9652.5657129572
2016-11-09,9761.8054846455,9636.921360100321
2016-11-10,9490.192259943118,9368.359969383358
2016-11-11,9546.44872072278,9423.984335098081
2016-11-14,9307.35876240878,9187.58078081008
2016-11-15,9430.419770364619,9309.25908081136
2016-11-16,9683.57384387309,9559.5687265276
2016-11-17,9680.057815075139,9556.0922036712
2016-11-18,9689.72689427106,9565.65264152784
2016-11-21,9836.521096618178,9710.79747081488
2016-11-22,9842.674147016149,9716.881385815119
2016-11-23,9792.57073663446,9667.34093510064
2016-11-25,9841.795139816439,9716.0122551008
2016-11-28,9822.45698142371,9696.891379386641
2016-11-29,9812.787902226897,9687.330941529119
2016-11-30,9730.16122545683,9605.632654385681
2016-12-01,9639.623483889367,9516.11219081336
2016-12-02,9675.662779076589,9551.7465500996
2016-12-05,9606.221210301277,9483.08522367008
2016-12-06,9680.057815075139,9556.0922036712
2016-12-07,9774.990592640259,9649.95832081424
2016-12-08,9870.802377405978,9744.693568672481
2016-12-09,10031.66069494846,9903.74448938864
2016-12-12,9974.525226969088,9847.2509929596
2016-12-13,10140.65758770983,10011.51669796168
2016-12-14,10140.65758770983,10011.51669796168
2016-12-15,10196.03504128978,10066.271932962081
2016-12-16,10209.22014928454,10079.308893676001
2016-12-19,10268.11363166333,10137.540651533682
2016-12-20,10295.362854853449,10164.48370367672
2016-12-21,10305.03193405026,10174.04414153424
2016-12-22,10237.348379674368,10107.12107653336
2016-12-23,10257.565545267698,10127.11108296272
2016-12-27,10322.612078044458,10191.42675582064
2016-12-28,10278.661718059848,10147.970220105519
2016-12-29,10276.024696460718,10145.36282796256
2016-12-30,10196.03504128978,10066.271932962081
